model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.3212120532989502,1.082991123199463,0.9880318641662598,0.9761616587638855,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,CP1
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,0.968718409538269,0.7713093757629395,0.9944430589675903,0.9883772730827332,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,CPz
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.165006160736084,0.918843150138855,0.9919546246528625,0.9830700755119324,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,CP2
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.0268079042434692,0.8169653415679932,0.9920411705970764,0.9838899374008179,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,P1
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.0277653932571411,0.8157334923744202,0.9929766654968262,0.9854817390441895,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,P2
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.9622818231582642,1.3284382820129395,0.973079264163971,0.9468454573457762,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.209063172340393,0.9585104584693909,0.9923401474952698,0.9844158291816711,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,FCz
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,3.2160136699676514,2.2582569122314453,0.8969107866287231,0.8040318489074707,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,C5
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,2.9491240978240967,2.1856448650360107,0.9438377022743225,0.88893061876297,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,C6
True,A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,0.9129272103309631,0.72712641954422,0.9948302507400513,0.9896774888038635,0.1809450384962269,0.2277393234980764,0.261164644147546,1.0154853710531642,0.8693571603844283,270,20000,CPz
