Condition,Trial,Channel,Pearson_r,MSE
Baseline (in_silence),trial_10,T5,-0.132506635643846,2.294234061609449e-11
Baseline (in_silence),trial_10,T6,0.07763952911613684,3.019592628215963e-11
Baseline (in_silence),trial_11,F7,0.03845621195291456,3.60271334658456e-11
Baseline (in_silence),trial_11,F3,-0.29361198571414926,1.288440311938148e-11
Baseline (in_silence),trial_11,F4,-0.2018489080101546,1.3375326983270804e-11
Baseline (in_silence),trial_11,F8,-0.04915897817388559,4.833247094935489e-11
Baseline (in_silence),trial_11,T3,-0.39977725618998816,9.973702804136598e-11
Baseline (in_silence),trial_11,T4,-0.3975874834590166,4.237987678757062e-11
Baseline (in_silence),trial_11,T5,-0.19597392370363717,3.079682536643253e-11
Baseline (in_silence),trial_11,T6,-0.17722022122405257,3.703899464532523e-11
Baseline (in_silence),trial_12,F7,-0.23840548732082367,1.7887894280017102e-11
Baseline (in_silence),trial_12,F3,-0.025203700703129335,6.520424767642718e-12
Baseline (in_silence),trial_12,F4,-0.11256373650575337,1.020631839201281e-11
Baseline (in_silence),trial_12,F8,-0.1959729620956442,1.4913231164650728e-11
Baseline (in_silence),trial_12,T3,-0.15870670823298738,9.90492488588143e-12
Baseline (in_silence),trial_12,T4,-0.27269293301217495,1.8406800063519696e-11
Baseline (in_silence),trial_12,T5,-0.027458515641233337,1.090254785448176e-11
Baseline (in_silence),trial_12,T6,0.03531706373878183,2.4657272306722824e-11
Baseline (in_silence),trial_13,F7,-0.3696091708191818,3.8828967605086736e-11
Baseline (in_silence),trial_13,F3,0.011480024101808683,9.341083951938812e-12
Baseline (in_silence),trial_13,F4,-0.06987009477747576,1.5096409076929302e-11
Baseline (in_silence),trial_13,F8,-0.2885678367963571,7.413406399906149e-11
Baseline (in_silence),trial_13,T3,-0.28159741371230645,2.5537937644669057e-11
Baseline (in_silence),trial_13,T4,-0.4290858197648359,9.602564236706515e-11
Baseline (in_silence),trial_13,T5,-0.099594061463436,1.8152786959362135e-11
Baseline (in_silence),trial_13,T6,0.06596410450674622,4.129625601829211e-11
Baseline (in_silence),trial_14,F7,-0.20181363332420654,1.455196540537999e-11
Baseline (in_silence),trial_14,F3,-0.0895882139439497,8.136343444135924e-12
Baseline (in_silence),trial_14,F4,-0.17069151185806744,9.509513164489222e-12
Baseline (in_silence),trial_14,F8,-0.1874765310226041,1.2282619248865638e-11
Baseline (in_silence),trial_14,T3,-0.19799437582152976,1.299855776312869e-11
Baseline (in_silence),trial_14,T4,-0.11978773738394084,9.383537278155028e-12
Baseline (in_silence),trial_14,T5,0.04537018943301456,1.3361822430945983e-11
Baseline (in_silence),trial_14,T6,-0.04102984262637751,1.9395705985159448e-11
Baseline (in_silence),trial_15,F7,-0.22623564544754213,1.4615193907182294e-11
Baseline (in_silence),trial_15,F3,-0.0892250844908531,6.522309468301406e-12
Baseline (in_silence),trial_15,F4,-0.12742558081022906,7.656945656044584e-12
Baseline (in_silence),trial_15,F8,-0.298640753294273,1.3910605900543334e-11
Baseline (in_silence),trial_15,T3,-0.1549183736219307,1.2584789985208679e-11
Baseline (in_silence),trial_15,T4,-0.1963363893037256,1.366599570331071e-11
Baseline (in_silence),trial_15,T5,-0.07519670163114846,1.2787015616775678e-11
Baseline (in_silence),trial_15,T6,-0.18446073542768024,3.075493780227672e-11
Baseline (in_silence),trial_16,F7,0.02276266174083083,2.8690232654814828e-11
Baseline (in_silence),trial_16,F3,-0.010917416675384008,8.70683159939484e-12
Baseline (in_silence),trial_16,F4,-0.14849009311835984,1.4138616486535542e-11
Baseline (in_silence),trial_16,F8,-0.07784412708805852,4.2741124734525484e-11
Baseline (in_silence),trial_16,T3,-0.40231644898446867,1.0125259429058773e-10
Baseline (in_silence),trial_16,T4,-0.3247626456265704,4.522391660121715e-11
Baseline (in_silence),trial_16,T5,-0.19066537526649477,2.9236464905695363e-11
Baseline (in_silence),trial_16,T6,-0.13625538325793832,3.01274173374704e-11
Baseline (in_silence),trial_17,F7,-0.19833754407245718,1.9988247751314182e-11
Baseline (in_silence),trial_17,F3,-0.22599205642404707,1.0702044545345035e-11
Baseline (in_silence),trial_17,F4,-0.39108466585734236,2.6686567582320626e-11
Baseline (in_silence),trial_17,F8,-0.0005178223233038056,3.2803823205114105e-11
Baseline (in_silence),trial_17,T3,-0.33527227660033526,3.0631634892539566e-11
Baseline (in_silence),trial_17,T4,-0.44474612336279623,7.007871440097937e-11
Baseline (in_silence),trial_17,T5,-0.32668514840871643,2.4852528456265122e-11
Baseline (in_silence),trial_17,T6,-0.1453290520092167,4.2294714720031446e-11
Baseline (in_silence),trial_18,F7,-0.1834334533405188,1.3518490350759812e-11
Baseline (in_silence),trial_18,F3,0.017067427231725364,6.834870925161868e-12
Baseline (in_silence),trial_18,F4,-0.04661379279278003,9.910806308249049e-12
Baseline (in_silence),trial_18,F8,-0.17087707439930583,1.4907434964534585e-11
Baseline (in_silence),trial_18,T3,-0.14553717904107363,1.393631637841798e-11
Baseline (in_silence),trial_18,T4,-0.23716546760768223,1.352048804289911e-11
Baseline (in_silence),trial_18,T5,0.12921682072569524,1.3525552371336832e-11
Baseline (in_silence),trial_18,T6,-0.014551581994348518,1.7968211104498113e-11
Baseline (in_silence),trial_19,F7,-0.40114879023153194,9.937121909684985e-10
Baseline (in_silence),trial_19,F3,0.19324828552654189,6.99741940792709e-11
Baseline (in_silence),trial_19,F4,0.014864969871047268,1.6193709381474573e-11
Baseline (in_silence),trial_19,F8,-0.37529336775642413,6.568065959738164e-11
Baseline (in_silence),trial_19,T3,-0.1232421766239391,1.3132893198116647e-10
Baseline (in_silence),trial_19,T4,-0.32986543922658035,5.259233721029762e-11
Baseline (in_silence),trial_19,T5,-0.26636556891860674,2.8003997007947187e-11
Baseline (in_silence),trial_19,T6,-0.14257542371299958,5.408216432383607e-11
Baseline (in_silence),trial_20,F7,-0.40774009480052187,3.804677078850884e-11
Baseline (in_silence),trial_20,F3,0.028690803203209662,7.691630051494213e-12
Baseline (in_silence),trial_20,F4,-0.24000186605766818,1.0021007956027106e-11
Baseline (in_silence),trial_20,F8,-0.2526919061079935,1.198271135775882e-11
Baseline (in_silence),trial_20,T3,-0.09355696421522301,1.4181630902033883e-11
