test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,n_test_trials,n_test_samples,model_loaded,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,channel
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.5879542827606201,1.27228844165802,0.9885815978050232,0.9770726561546326,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,C2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,2.930697202682495,2.321272611618042,0.9449365735054016,0.8914243578910828,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,C6
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.5035650730133057,1.2081712484359741,0.9884693622589111,0.9770000576972961,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,CP1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.3624294996261597,1.0744661092758179,0.991259753704071,0.9825708866119385,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,CPz
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.2005436420440674,0.9447798132896423,0.9928491115570068,0.9857131242752075,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,CP2
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.5036174058914185,1.1756993532180786,0.9878279566764832,0.975504994392395,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,P1
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,Learned_BEM_Residual,273,273000,True,1.146183967590332,0.899468183517456,0.9929585456848145,0.9858253598213196,1.1374411453050133,0.8043290235750282,0.6023282377082576,0.8291000955078932,0.5012596297545663,P2
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,1.9731796979904175,1.4901282787322998,0.979011058807373,0.9584227647684582,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,1.80008065700531,1.3803807497024536,0.9871183633804321,0.9743736982345581,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,FCz
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,2.4710047245025635,1.958186388015747,0.952610433101654,0.9073567390441895,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,C5
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,2.6717920303344727,2.11433482170105,0.954547107219696,0.9097612500190735,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,C6
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,1.3297522068023682,1.0487589836120605,0.9917495846748352,0.9833967685699463,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,CPz
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,1.4399769306182861,1.1253108978271484,0.9891402721405029,0.9775351285934448,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,P1
A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,273,273000,True,1.2116962671279907,0.9547109603881836,0.9921386241912842,0.9841588139533997,1.6595231840952689,0.5598421832621036,0.81142130382336,1.258241603615353,0.6069506506876515,P2
