test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.7224260365999777,2.9410151418477724,0.9556272960907094,0.9073993666179457,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,Cz
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.8940544982213674,2.285188734578412,0.9723613435017797,0.9406333701517677,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,C2
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,4.822625674200765,3.784746767082286,0.9159644834596601,0.8314598017279182,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,C6
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.8152353999752684,1.4306999442417936,0.9883939214998851,0.9767925825162097,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,CP3
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.0251366611896633,1.6120708623310902,0.9863164662046455,0.9715807244547052,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,CP1
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.2544572713723756,1.7826204392175213,0.9838649371286021,0.9664908561038974,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,CPz
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.925295128824555,1.5182354354884342,0.9879260396158955,0.9750362434174893,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,CP2
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.0525194380766325,1.6218110687459115,0.9855287194885856,0.971165042131126,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,CP4
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.1278162061141526,1.6634417512000736,0.985543340932745,0.9704672371476981,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,P1
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.862111824418791,1.453733145999313,0.9889165897452095,0.9778015874350633,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,P2
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.5172361515526793,1.7848095579736716,0.9779115916389178,0.9556277866482348,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9082086111963317,1.535365738693155,0.9868401800941348,0.9736508724514856,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,FC1
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.754911231372294,1.3967069392368419,0.9894670573032815,0.9786455107921832,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,FCz
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9156402068153735,1.5545734231588648,0.9867820432525883,0.9734081347683504,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,FC2
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,4.817061098503177,3.5765345613561004,0.9078833714268308,0.8001185117261234,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,C5
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.2282370213022964,1.7929620171597547,0.9827000996771487,0.9654342962170421,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,C1
A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.1013190910771695,1.710445069800567,0.9847293737318913,0.9687022586138653,1.3401210086939397,0.9895510090910865,3.739266335863161,0.4401733378148883,0.5653825445123772,270,270000,C2
